BioSample,BioProject,Run Accession,Study
SAMN03197092,PRJNA267549,SRR1655324,roach2015
SAMN03197116,PRJNA267549,SRR1655348,roach2015
SAMN03197121,PRJNA267549,SRR1655353,roach2015
SAMN03197146,PRJNA267549,SRR1655378,roach2015
SAMN03197152,PRJNA267549,SRR1655384,roach2015
SAMN03197192,PRJNA267549,SRR1655424,roach2015
SAMN03197214,PRJNA267549,SRR1655446,roach2015
SAMN03197250,PRJNA267549,SRR1655482,roach2015
SAMN03197284,PRJNA267549,SRR1655516,roach2015
SAMN03197297,PRJNA267549,SRR1655529,roach2015
SAMN03197305,PRJNA267549,SRR1655537,roach2015
SAMN03197310,PRJNA267549,SRR1655542,roach2015
SAMN03197314,PRJNA267549,SRR1655546,roach2015
SAMN03197324,PRJNA267549,SRR1655556,roach2015
SAMN03197325,PRJNA267549,SRR1655557,roach2015
SAMN23424733,PRJNA783264,SRR17662747;SRR17662754,nuesch-inderbinen2022a
SAMN23424741,PRJNA783264,SRR17662728;SRR17662739,nuesch-inderbinen2022a
SAMN29206312,PRJNA850926,SRR19751404,habib2022
SAMN29206313,PRJNA850926,SRR19751403,habib2022
SAMN29206314,PRJNA850926,SRR19751416,habib2022
SAMN29206315,PRJNA850926,SRR19751415,habib2022
SAMN23424744,PRJNA783264,SRR17662736;SRR17662751,nuesch-inderbinen2022a
SAMN03197374,PRJNA267549,SRR1655606,roach2015
SAMN03197379,PRJNA267549,SRR1655611,roach2015
SAMN03197380,PRJNA267549,SRR1655612,roach2015
SAMN03197382,PRJNA267549,SRR1655614,roach2015
SAMEA5128242,PRJEB29922,ERR2929618,hasman2019
SAMN03197383,PRJNA267549,SRR1655615,roach2015
SAMN03197393,PRJNA267549,SRR1655625,roach2015
SAMN03197403,PRJNA267549,SRR1655635,roach2015
SAMN23424746,PRJNA783264,SRR17662749,nuesch-inderbinen2022a
SAMN23424743,PRJNA783264,SRR17662737;SRR17662752,nuesch-inderbinen2022a
SAMN03197406,PRJNA267549,SRR1655638,roach2015
SAMN03197415,PRJNA267549,SRR1655647,roach2015
SAMN29206316,PRJNA850926,SRR19751413,habib2022
SAMN03197418,PRJNA267549,SRR1655650,roach2015
SAMN29206317,PRJNA850926,SRR19751411,habib2022
SAMN23424739,PRJNA783264,SRR17662730;SRR17662741,nuesch-inderbinen2022a
SAMEA5128243,PRJEB29922,ERR2929620,hasman2019
SAMN29206318,PRJNA850926,SRR19751409,habib2022
SAMN03197434,PRJNA267549,SRR1655666,roach2015
SAMN23424735,PRJNA783264,SRR17662742;SRR17662745,nuesch-inderbinen2022a
SAMN03197444,PRJNA267549,SRR1655676,roach2015
SAMN03197445,PRJNA267549,SRR1655677,roach2015
SAMN03197448,PRJNA267549,SRR1655680,roach2015
SAMN03197449,PRJNA267549,SRR1655681,roach2015
SAMN03197450,PRJNA267549,SRR1655682,roach2015
SAMN03197452,PRJNA267549,SRR1655684,roach2015
SAMEA5128247,PRJEB29922,ERR2929591,hasman2019
SAMN23424742,PRJNA783264,SRR17662727;SRR17662738,nuesch-inderbinen2022a
SAMEA5128226,PRJEB29922,ERR2929584,hasman2019
SAMN29206319,PRJNA850926,SRR19751408,habib2022
SAMEA5128250,PRJEB29922,ERR2929587,hasman2019
SAMN29206320,PRJNA850926,SRR19751407,habib2022
SAMN29206321,PRJNA850926,SRR19751406,habib2022
SAMEA5128263,PRJEB29922,ERR2929605,hasman2019
SAMEA5128266,PRJEB29922,ERR2929608,hasman2019
SAMEA5128235,PRJEB29922,ERR2929610,hasman2019
SAMEA5128237,PRJEB29922,ERR2929612,hasman2019
SAMN03197579,PRJNA267549,SRR1655811,roach2015
SAMEA5128239,PRJEB29922,ERR2929615,hasman2019
SAMEA5128240,PRJEB29922,ERR2929616,hasman2019
SAMN03197596,PRJNA267549,SRR1655828,roach2015
SAMN03197603,PRJNA267549,SRR1655835,roach2015
SAMN03197621,PRJNA267549,SRR1655853,roach2015
SAMN03197657,PRJNA267549,SRR1655889,roach2015
SAMN30494099,PRJNA873263,SRR21196277,cabal2022
SAMN30494101,PRJNA873263,SRR21196275,cabal2022
SAMN30494098,PRJNA873263,SRR21196278,cabal2022
SAMN30494100,PRJNA873263,SRR21196276,cabal2022
SAMN30494102,PRJNA873263,SRR21196274,cabal2022
SAMN30494081,PRJNA873263,SRR21196213,cabal2022
SAMN30494082,PRJNA873263,SRR21196212,cabal2022
SAMN30494092,PRJNA873263,SRR21196285,cabal2022
SAMN30494080,PRJNA873263,SRR21196214,cabal2022
SAMN30494079,PRJNA873263,SRR21196215,cabal2022
SAMN30494084,PRJNA873263,SRR21196210,cabal2022
SAMN30494085,PRJNA873263,SRR21196292,cabal2022
SAMN30494093,PRJNA873263,SRR21196284,cabal2022
SAMN30494083,PRJNA873263,SRR21196211,cabal2022
SAMN30494096,PRJNA873263,SRR21196280,cabal2022
SAMN30494094,PRJNA873263,SRR21196283,cabal2022
SAMN30494095,PRJNA873263,SRR21196281,cabal2022
SAMN30494097,PRJNA873263,SRR21196279,cabal2022
SAMN30494088,PRJNA873263,SRR21196289,cabal2022
SAMN30494090,PRJNA873263,SRR21196287,cabal2022
SAMN30494089,PRJNA873263,SRR21196288,cabal2022
SAMN30494091,PRJNA873263,SRR21196286,cabal2022
SAMN30494087,PRJNA873263,SRR21196290,cabal2022
SAMN30494086,PRJNA873263,SRR21196291,cabal2022
SAMN30494077,PRJNA873263,SRR21196217,cabal2022
SAMN30494078,PRJNA873263,SRR21196216,cabal2022
SAMN30494076,PRJNA873263,SRR21196218,cabal2022
