accession	sample_id	biosample	clade	study_id	gentamicin_RIS	gentamicin_DST_method	vancomycin_MIC	vancomycin_RIS	vancomycin_DST_method	ampicillin_MIC	ampicillin_RIS	ampicillin_DST_method	erythromycin_MIC	erythromycin_RIS	erythromycin_DST_method	linezolid_MIC	linezolid_RIS	linezolid_DST_method	tigecycline_MIC	tigecycline_RIS	tigecycline_DST_method	teicoplanin_MIC	teicoplanin_RIS	teicoplanin_DST_method	streptomycin_MIC	streptomycin_RIS	streptomycin_DST_method	ciprofloxacin_MIC	ciprofloxacin_RIS	ciprofloxacin_DST_method	tetracycline_MIC	tetracycline_RIS	tetracycline_DST_method	penicillin_MIC	penicillin_RIS	penicillin_DST_method	levofloxacin_MIC	levofloxacin_RIS	levofloxacin_DST_method	quinupristin-dalfopristin_MIC	quinupristin-dalfopristin_RIS	quinupristin-dalfopristin_DST_method	chloramphenicol_MIC	chloramphenicol_RIS	chloramphenicol_DST_method	trimethoprim_MIC	trimethoprim_RIS	trimethoprim_DST_method	kanamycin_RIS	kanamycin_DST_method	nitrofurantoin_MIC	nitrofurantoin_RIS	nitrofurantoin_DST_method	doxycycline_MIC	doxycycline_RIS	doxycycline_DST_method	rifampin_MIC	rifampin_RIS	rifampin_DST_method	clindamycin_MIC	clindamycin_RIS	clindamycin_DST_method	oxacillin_MIC	oxacillin_RIS	oxacillin_DST_method	amikacin_MIC	amikacin_RIS	amikacin_DST_method	trimethoprim-sulfamethoxazole_MIC	trimethoprim-sulfamethoxazole_RIS	trimethoprim-sulfamethoxazole_DST_method	florfenicol_MIC	florfenicol_RIS	florfenicol_DST_method	tedizolid_MIC	tedizolid_RIS	tedizolid_DST_method	daptomycin_MIC	daptomycin_RIS	daptomycin_DST_method	lincomycin_MIC	lincomycin_RIS	lincomycin_DST_method	tylosin_MIC	tylosin_RIS	tylosin_DST_method	moxifloxacin_MIC	moxifloxacin_RIS	moxifloxacin_DST_method	cefazolin_MIC	cefazolin_RIS	cefazolin_DST_method	cefuroxime_MIC	cefuroxime_DST_method	fosfomycin_MIC	fosfomycin_DST_method	ceftazidime_MIC	ceftazidime_RIS	ceftazidime_DST_method	ofloxacin_MIC	ofloxacin_RIS	ofloxacin_DST_method	azithromycin_RIS	azithromycin_DST_method	amoxicillin-clavulanic acid_MIC	amoxicillin-clavulanic acid_DST_method	eravacycline_MIC	eravacycline_RIS	eravacycline_DST_method	tiamulin_MIC	tiamulin_RIS	tiamulin_DST_method	sulfadimidine_RIS	sulfadimidine_DST_method	fusidic acid_MIC	fusidic acid_RIS	fusidic acid_DST_method	imipenem_MIC	imipenem_RIS	imipenem_DST_method	norfloxacin_MIC	norfloxacin_RIS	norfloxacin_DST_method	piperacillin-tazobactam_MIC	piperacillin-tazobactam_RIS	piperacillin-tazobactam_DST_method	meropenem_MIC	meropenem_RIS	meropenem_DST_method	avilamycin_MIC	avilamycin_DST_method	bacitracin_MIC	bacitracin_DST_method	ceftriaxone_MIC	ceftriaxone_DST_method	minocycline_MIC	minocycline_DST_method	amoxicillin_RIS	cefoxitin_RIS	tobramycin_RIS	lincosamide_MIC	lincosamide_RIS	lincosamide_DST_method
SAMD00211633	ID_6666916	SAMD00211633	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211634	ID_6525399	SAMD00211634	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211635	ID_5580893	SAMD00211635	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211636	ID_2580573	SAMD00211636	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211637	ID_2269158	SAMD00211637	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211638	ID_8740077	SAMD00211638	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211639	ID_5484119	SAMD00211639	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211640	ID_4141724	SAMD00211640	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211641	ID_5204242	SAMD00211641	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMD00211642	ID_4388035	SAMD00211642	Homo sapiens	harada2020	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
