Antibi—tico;Total;S;R;VP;FP;FN;VN;Sen;IC;Esp;IC;VPP;IC
vancomycin;600;555;45;15;12;30;543;33,3;(21.4-47.9);97,8;(96.3-98.8);55,6;(37.3-72.4)
linezolid;537;431;106;93;19;13;412;87,7;(80.1-92.7);95,6;(93.2-97.2);83;(75-88.9)
erythromycin;384;117;267;237;13;30;104;88,8;(84.4-92);88,9;(81.9-93.4);94,8;(91.3-96.9)
chloramphenicol;308;184;124;120;6;4;178;96,8;(92-98.7);96,7;(93.1-98.5);95,2;(90-97.8)
tetracycline;261;83;178;173;5;5;78;97,2;(93.6-98.8);94;(86.7-97.4);97,2;(93.6-98.8)
ciprofloxacin;220;169;51;31;17;20;152;60,8;(47.1-73);89,9;(84.5-93.6);64,6;(50.4-76.6)
quinupristin-dalfopristin;374;27;347;347;27;0;0;100;(98.9-100);0;(0-12.5);92,8;(89.7-95)
tylosin;140;80;60;58;1;2;79;96,7;(88.6-99.1);98,8;(93.3-99.8);98,3;(91-99.7)
doxycycline;158;69;89;88;2;1;67;98,9;(93.9-99.8);97,1;(90-99.2);97,8;(92.3-99.4)
gentamicin;477;356;121;109;97;12;259;90,1;(83.5-94.2);72,8;(67.9-77.1);52,9;(46.1-59.6)
streptomycin;417;314;103;98;69;5;245;95,1;(89.1-97.9);78;(73.1-82.3);58,7;(51.1-65.9)
kanamycin;205;129;76;68;11;8;118;89,5;(80.6-94.6);91,5;(85.4-95.2);86,1;(76.8-92)
