Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
ERR3959019	NA	ERR3959019.contig00001	326266	328725	+	parC_S80I	Enterococcus faecalis quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	820	820	100.00	99.63	820	WP_002371880.1	DNA topoisomerase IV subunit A ParC	NA	NA
ERR3959019	NA	ERR3959019.contig00008	66126	68624	-	gyrA_S83I	Enterococcus faecalis quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	833	833	100.00	99.40	833	WP_033785346.1	DNA gyrase subunit A GyrA	NA	NA
ERR3959019	NA	ERR3959019.contig00011	101304	102797	+	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.40	498	WP_002387187.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
ERR3959019	NA	ERR3959019.contig00018	3710	4444	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
ERR3959019	NA	ERR3959019.contig00018	14708	15553	-	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	282	282	100.00	100.00	282	WP_001258486.1	streptomycin adenylyltransferase Str	NA	NA
ERR3959019	NA	ERR3959019.contig00018	42072	43988	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_001574275.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
ERR3959019	NA	ERR3959019.contig00018	44185	45558	+	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	458	458	100.00	100.00	458	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	NA	NA
ERR3959019	NA	ERR3959019.contig00018	46603	47247	+	catA	type A-8 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTX	215	215	100.00	97.21	215	WP_002352254.1	type A-8 chloramphenicol O-acetyltransferase	NA	NA
ERR3959019	NA	ERR3959019.contig00026	442	1866	+	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	475	475	100.00	98.95	475	WP_032491576.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NA	NA
ERR3959019	NA	ERR3959019.contig00026	2563	4521	+	optrA	ABC-F type ribosomal protection protein OptrA	core	AMR	AMR	OXAZOLIDINONE/PHENICOL	FLORFENICOL/OXAZOLIDINONE	BLASTX	653	655	99.69	100.00	653	WP_063854496.1	ABC-F type ribosomal protection protein OptrA	NA	NA
